2023 Rank,LEA,School Name,RESIDUAL,2023 ACT,Rank Chg,ACT Chg,,,,,,,,
,,,,Avg Comp,from 2022,Avg Comp,2122_RANK,LEA,SCHOOL_NAME,2122_RESIDUALS,2122_ACT_COMP,,2122_RANK,2122_ACT
124,4602006,Genoa Central High School,-0.2182,19.44,45,-0.57,124,2901002,Blevins High School,-0.17123593,17.19,,169,20.01
125,3306015,Izard Co. Cons. High School,-0.2269,18.09,40,0.35,125,6053703,Premier High School of Little Rock,-0.193354048,15.13,,165,17.74
126,6401003,Waldron High School,-0.2377,18.26,73,0.79,126,6003151,Maumelle High School,-0.210732841,18.5,,199,17.47
127,3904011,Lee High School,-0.2424,14.25,61,0.77,127,6103010,Pocahontas High School,-0.226235382,19.01,,188,13.48
128,3604019,Lamar High School,-0.2437,18.39,-87,-0.87,128,1003018,Gurdon High School,-0.233781573,17.08,,41,19.26
129,7208062,West Fork High School,-0.2859,18.46,-30,-0.5,129,5404032,Marvell-Elaine High School,-0.239257587,14.48,,99,18.96
130,5301002,Bigelow High School,-0.2902,17.77,-122,-2.84,130,3002009,Glen Rose High School,-0.24647903,19.19,,8,20.61
131,5303011,Perryville High School,-0.3,17.86,-68,-0.72,131,303703,Mtn Home High Career Academics,-0.258810851,19.98,,63,18.58
132,2808043,Paragould High School,-0.3066,19.07,-54,-0.26,132,1507036,Morrilton Sr. High School,-0.264482871,18.14,,78,19.33
133,4603010,Fouke High School,-0.3072,18.96,71,0.58,133,5605023,Trumann High School,-0.276043653,17.48,,204,18.38
134,2202005,Drew Central High School,-0.3101,17.48,45,0.12,134,1704017,Mulberry High School,-0.282908886,18.39,,179,17.36
135,1705027,Van Buren High School,-0.3115,19.5,12,-0.11,135,7301003,Bald Knob High School,-0.283641591,18.65,,147,19.61
136,3704013,Lafayette County High School,-0.3132,16.04,7,0.01,136,2906026,Spring Hill High School,-0.300271308,18.86,,143,16.03
137,3003014,Magnet Cove High School,-0.3159,18.77,38,-0.06,137,4301029,Lonoke High School,-0.303206625,17.74,,175,18.83
138,7303015,Bradford High School,-0.3258,17.71,71,0.63,138,6601024,Northside High School,-0.310172118,18.42,,209,17.08
139,2601002,Cutter-Morning Star High Sch.,-0.3305,17.43,82,0.66,139,1603007,Brookland High School,-0.310587368,19.56,,221,16.77
140,4801003,Brinkley High School,-0.3388,15.48,86,1.13,140,1701002,Alma High School,-0.319721917,19.35,,226,14.35
141,7310043,Rose Bud High School,-0.3428,18.47,5,0.13,141,5401003,Barton High School,-0.320113938,16.52,,146,18.34
142,6303022,Bryant High School,-0.3467,19.88,17,-0.39,142,201006,Crossett High School,-0.328708692,17.92,,159,20.27
143,3004023,Malvern High School,-0.3694,17.8,-92,-0.54,143,3704013,Lafayette County High School,-0.348673589,16.03,,51,18.34
144,5805024,Russellville High School,-0.3745,19.81,-60,-0.13,144,5604017,Marked Tree High School,-0.356143927,16.7,,84,19.94
145,6205028,Palestine-Wheatley Senior High,-0.377,17.53,-135,-2.33,145,3809023,Hillcrest High School,-0.378247792,18.04,,10,19.86
146,303703,Mtn Home High Career Academics,-0.3952,19.85,-15,-0.13,146,7310043,Rose Bud High School,-0.381362152,18.34,,131,19.98
147,7001012,El Dorado High School,-0.4159,17.56,6,-0.46,147,1705027,Van Buren High School,-0.384878958,19.61,,153,18.02
148,6603048,Hackett High School,-0.4222,18.03,-132,-2.07,148,2807008,Greene Co. Tech High School,-0.414806666,19.17,,16,20.1
149,1703013,Mountainburg High School,-0.4458,17.83,34,0.11,149,5707023,Cossatot River High School,-0.417376006,17.5,,183,17.72
150,6052703,Siatech High Charter,-0.4607,15.68,NR,0,150,101004,Dewitt High School,-0.417798772,18.34,,NR,15.68
151,6804010,Highland High School,-0.4677,18.24,19,0.07,151,4303013,Carlisle High School,-0.418820107,18,,170,18.17
152,7105019,South Side High School,-0.4801,18.87,-48,-0.1,152,7207062,Har-Ber High School,-0.422880183,20.29,,104,18.97
153,1101004,Corning High School,-0.4808,18.1,63,0.91,153,7001012,El Dorado High School,-0.431334021,18.02,,216,17.19
